Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Purpose of Use,Number of Platforms Used,Device Used Most,Parental Monitoring,Academic Performance,Daily Study Hours,Year of Study,Region,Year_Of_Admission
391,20,Female,Undergraduate,Spain,4.5,Whatsapp,Yes,7.4,6,Single,3,7,News,2,Tablet,Sometimes,Good,5,4th Year,North,2020
392,22,Male,Graduate,Denmark,3.3,Facebook,No,8.5,8,In Relationship,2,4,Entertainment,5,Tablet,Sometimes,Good,2,2nd Year,South,2020
393,19,Female,Undergraduate,Ireland,4.2,Instagram,Yes,7.7,7,Single,3,6,Entertainment,4,Desktop,No,Poor,3,2nd Year,North,2023
394,21,Male,Graduate,India,6.5,WhatsApp,Yes,5.8,5,In Relationship,4,8,News,3,Tablet,Sometimes,Excellent,2,2nd Year,North,2022
395,20,Female,Undergraduate,Switzerland,3.2,Instagram,No,8.6,8,Single,2,4,Socializing,5,Mobile,No,Average,3,1st Year,South,2023
396,22,Male,Graduate,Turkey,4.8,Whatsapp,Yes,7.4,6,Single,3,7,Other,2,Laptop,No,Good,1,1st Year,East,2025
397,19,Female,Undergraduate,USA,7.5,Instagram,Yes,4.8,5,In Relationship,4,9,Socializing,5,Tablet,Sometimes,Good,4,3rd Year,Central,2024
398,21,Male,Graduate,Mexico,6.3,WhatsApp,Yes,5.9,6,Single,3,7,Entertainment,4,Mobile,Sometimes,Good,3,1st Year,North,2022
399,20,Female,Undergraduate,France,3.8,Instagram,No,8.2,7,In Relationship,2,5,Education,2,Laptop,Yes,Average,4,4th Year,Central,2024
400,22,Male,Graduate,Canada,4.6,Whatsapp,Yes,7.6,6,Single,3,7,Socializing,1,Tablet,Yes,Good,5,3rd Year,West,2020
401,19,Female,Undergraduate,Spain,4.4,Instagram,Yes,7.5,6,Single,3,7,Socializing,4,Tablet,No,Poor,2,4th Year,North,2023
402,21,Male,Graduate,Denmark,3.2,Facebook,No,8.6,8,In Relationship,2,4,Other,5,Tablet,Sometimes,Excellent,3,2nd Year,North,2020
403,20,Female,Undergraduate,Ireland,4.1,Whatsapp,Yes,7.8,7,Single,3,6,Socializing,2,Desktop,No,Poor,2,3rd Year,Central,2025
404,22,Male,Graduate,India,6.6,WhatsApp,Yes,5.7,5,In Relationship,4,8,Education,5,Mobile,No,Good,2,1st Year,North,2021
405,19,Female,Undergraduate,Switzerland,3.1,Instagram,No,8.7,8,Single,2,4,Socializing,5,Desktop,Sometimes,Good,4,1st Year,South,2022
406,21,Male,Graduate,Turkey,4.7,Instagram,Yes,7.5,6,Single,3,7,Entertainment,5,Desktop,Sometimes,Average,1,1st Year,North,2023
407,20,Female,Undergraduate,USA,7.6,Whatsapp,Yes,4.7,5,In Relationship,4,9,News,4,Tablet,No,Good,4,3rd Year,North,2022
408,22,Male,Graduate,Mexico,6.4,WhatsApp,Yes,5.8,6,Single,3,7,News,3,Tablet,Sometimes,Average,5,3rd Year,South,2022
409,19,Female,Undergraduate,France,3.7,Instagram,No,8.3,7,In Relationship,2,5,Education,4,Desktop,Sometimes,Average,1,4th Year,East,2025
410,21,Male,Graduate,Canada,4.5,Instagram,Yes,7.7,6,Single,3,7,News,1,Desktop,Yes,Good,1,1st Year,West,2023
411,20,Female,Undergraduate,Spain,4.3,Whatsapp,Yes,7.6,6,Single,3,7,News,3,Tablet,Yes,Excellent,1,4th Year,South,2023
412,22,Male,Graduate,Denmark,3.1,Facebook,No,8.7,8,In Relationship,2,4,Socializing,2,Tablet,Yes,Average,5,3rd Year,South,2025
413,19,Female,Undergraduate,Ireland,4,Instagram,Yes,7.9,7,Single,3,6,Education,1,Laptop,No,Poor,1,1st Year,South,2021
414,21,Male,Graduate,India,6.7,WhatsApp,Yes,5.6,5,In Relationship,4,8,Entertainment,1,Desktop,Yes,Average,3,4th Year,North,2025
415,20,Female,Undergraduate,Switzerland,3,Instagram,No,8.8,8,Single,2,4,Entertainment,4,Laptop,Sometimes,Good,5,3rd Year,East,2022
416,22,Male,Graduate,Turkey,4.6,Whatsapp,Yes,7.6,6,Single,3,7,Entertainment,4,Mobile,Sometimes,Average,5,4th Year,Central,2021
417,19,Female,Undergraduate,USA,7.7,Instagram,Yes,4.6,5,In Relationship,4,9,Other,3,Tablet,Sometimes,Good,5,3rd Year,South,2021
418,21,Male,Graduate,Mexico,6.5,WhatsApp,Yes,5.7,6,Single,3,7,Entertainment,4,Tablet,Yes,Average,1,2nd Year,North,2024
419,20,Female,Undergraduate,France,3.6,Instagram,No,8.4,7,In Relationship,2,5,News,3,Tablet,No,Good,2,1st Year,South,2025
420,22,Male,Graduate,Canada,4.4,Whatsapp,Yes,7.8,6,Single,3,7,News,5,Tablet,No,Poor,1,2nd Year,North,2021
421,19,Female,Undergraduate,Spain,4.2,Instagram,Yes,7.7,6,Single,3,7,Other,2,Tablet,No,Poor,1,1st Year,East,2020
422,21,Male,Graduate,Denmark,3,Facebook,No,8.8,8,In Relationship,2,4,News,1,Laptop,No,Excellent,2,1st Year,North,2024
423,20,Female,Undergraduate,Ireland,3.9,Whatsapp,Yes,8,7,Single,3,6,Entertainment,2,Mobile,Yes,Poor,1,1st Year,North,2024
424,22,Male,Graduate,India,6.8,WhatsApp,Yes,5.5,5,In Relationship,4,8,Entertainment,2,Mobile,Yes,Poor,1,1st Year,Central,2020
425,19,Female,Undergraduate,Switzerland,2.9,Instagram,No,8.9,8,Single,2,4,News,2,Laptop,Sometimes,Average,2,1st Year,South,2022
426,21,Male,Graduate,Turkey,4.5,Instagram,Yes,7.7,6,Single,3,7,Other,3,Tablet,Sometimes,Excellent,1,2nd Year,North,2022
427,20,Female,Undergraduate,USA,7.8,Whatsapp,Yes,4.5,5,In Relationship,4,9,Entertainment,1,Mobile,No,Good,3,1st Year,North,2024
428,22,Male,Graduate,Mexico,6.6,WhatsApp,Yes,5.6,6,Single,3,7,Socializing,2,Desktop,Sometimes,Excellent,1,3rd Year,South,2020
429,19,Female,Undergraduate,France,3.5,Instagram,No,8.5,7,In Relationship,2,5,Socializing,2,Laptop,Sometimes,Good,3,4th Year,West,2025
430,21,Male,Graduate,Canada,4.3,Instagram,Yes,7.9,6,Single,3,7,Other,3,Mobile,Sometimes,Average,2,2nd Year,West,2021
431,20,Female,Undergraduate,Spain,4.1,Whatsapp,Yes,7.8,6,Single,3,7,Entertainment,2,Desktop,No,Excellent,5,1st Year,West,2024
432,22,Male,Graduate,Denmark,2.9,Facebook,No,8.9,8,In Relationship,2,4,Other,2,Tablet,No,Average,4,2nd Year,East,2022
433,19,Female,Undergraduate,Ireland,3.8,Instagram,Yes,8.1,7,Single,3,6,Socializing,1,Mobile,Yes,Poor,3,4th Year,East,2021
434,21,Male,Graduate,India,6.9,WhatsApp,Yes,5.4,5,In Relationship,4,8,Socializing,1,Laptop,Sometimes,Poor,5,3rd Year,North,2021
435,20,Female,Undergraduate,Switzerland,2.8,Instagram,No,9,8,Single,2,4,Education,5,Laptop,No,Average,2,2nd Year,West,2021
436,22,Male,Graduate,Turkey,4.4,Whatsapp,Yes,7.8,6,Single,3,7,News,3,Desktop,Yes,Poor,4,4th Year,North,2021
437,19,Female,Undergraduate,USA,7.9,Instagram,Yes,4.4,5,In Relationship,4,9,Other,1,Laptop,Sometimes,Average,2,2nd Year,West,2025
438,21,Male,Graduate,Mexico,6.7,WhatsApp,Yes,5.5,6,Single,3,7,Socializing,3,Tablet,No,Poor,2,3rd Year,West,2022
439,20,Female,Undergraduate,France,3.4,Instagram,No,8.6,7,In Relationship,2,5,Entertainment,3,Mobile,No,Poor,1,4th Year,East,2020
440,22,Male,Graduate,Canada,4.2,Whatsapp,Yes,8,6,Single,3,7,Socializing,1,Laptop,Yes,Good,1,2nd Year,South,2021
441,19,Female,Undergraduate,Spain,4,Instagram,Yes,7.9,6,Single,3,7,News,4,Mobile,No,Good,3,3rd Year,Central,2020
442,21,Male,Graduate,Denmark,2.8,Facebook,No,9,8,In Relationship,2,4,Other,5,Desktop,Yes,Average,1,2nd Year,North,2024
443,20,Female,Undergraduate,Ireland,3.7,Whatsapp,Yes,8.2,7,Single,3,6,Entertainment,2,Laptop,No,Good,2,3rd Year,Central,2025
444,22,Male,Graduate,India,7,WhatsApp,Yes,5.3,5,In Relationship,4,8,Other,2,Desktop,Yes,Good,1,2nd Year,West,2025
445,19,Female,Undergraduate,Switzerland,2.7,Instagram,No,9.1,8,Single,2,4,Other,4,Mobile,No,Good,5,1st Year,West,2023
446,21,Male,Graduate,Turkey,4.3,Instagram,Yes,7.9,6,Single,3,7,News,2,Laptop,Sometimes,Average,4,2nd Year,Central,2022
447,20,Female,Undergraduate,USA,8,Whatsapp,Yes,4.3,5,In Relationship,4,9,Socializing,2,Tablet,Sometimes,Good,1,3rd Year,East,2025
448,22,Male,Graduate,Mexico,6.8,WhatsApp,Yes,5.4,6,Single,3,7,News,4,Tablet,No,Excellent,1,4th Year,South,2023
449,19,Female,Undergraduate,France,3.3,Instagram,No,8.7,7,In Relationship,2,5,Other,2,Mobile,Yes,Average,5,1st Year,West,2023
450,21,Male,Graduate,Canada,4.1,Instagram,Yes,8.1,6,Single,3,7,News,1,Tablet,No,Good,1,4th Year,East,2024
451,20,Female,Undergraduate,Spain,3.9,Whatsapp,Yes,8,6,Single,3,7,News,1,Desktop,No,Poor,2,1st Year,West,2024
452,22,Male,Graduate,Denmark,2.7,Facebook,No,9.1,8,In Relationship,2,4,Entertainment,1,Mobile,Sometimes,Average,5,4th Year,West,2020
453,19,Female,Undergraduate,Ireland,3.6,Instagram,Yes,8.3,7,Single,3,6,Other,2,Desktop,Yes,Poor,3,4th Year,Central,2020
454,21,Male,Graduate,India,7.1,WhatsApp,Yes,5.2,5,In Relationship,4,8,Socializing,5,Desktop,Yes,Good,3,2nd Year,Central,2023
455,20,Female,Undergraduate,Switzerland,2.6,Instagram,No,9.2,8,Single,2,4,News,2,Laptop,Yes,Poor,1,1st Year,Central,2024
456,22,Male,Graduate,Turkey,4.2,Whatsapp,Yes,8,6,Single,3,7,Other,4,Laptop,Sometimes,Excellent,5,4th Year,North,2024
457,19,Female,Undergraduate,USA,8.1,Instagram,Yes,4.2,5,In Relationship,4,9,Education,1,Laptop,No,Good,5,3rd Year,South,2020
458,21,Male,Graduate,Mexico,6.9,WhatsApp,Yes,5.3,6,Single,3,7,Socializing,3,Mobile,Yes,Average,1,4th Year,South,2022
459,20,Female,Undergraduate,France,3.2,Instagram,No,8.8,7,In Relationship,2,5,Entertainment,4,Mobile,No,Poor,1,1st Year,North,2023
460,22,Male,Graduate,Canada,4,Whatsapp,Yes,8.2,6,Single,3,7,Other,5,Laptop,No,Average,3,3rd Year,East,2023
461,19,Female,Undergraduate,Spain,3.8,Instagram,Yes,8.1,6,Single,3,7,Education,3,Desktop,Yes,Good,4,4th Year,South,2023
462,21,Male,Graduate,Denmark,2.6,Facebook,No,9.2,8,In Relationship,2,4,News,3,Laptop,Sometimes,Poor,2,4th Year,West,2024
463,20,Female,Undergraduate,Ireland,3.5,Whatsapp,Yes,8.4,7,Single,3,6,Education,5,Tablet,No,Excellent,5,2nd Year,West,2024
464,22,Male,Graduate,India,7.2,WhatsApp,Yes,5.1,5,In Relationship,4,8,Other,1,Laptop,No,Good,5,1st Year,East,2025
465,19,Female,Undergraduate,Switzerland,2.5,Instagram,No,9.3,8,Single,2,4,Socializing,1,Mobile,No,Good,4,2nd Year,West,2025
466,21,Male,Graduate,Turkey,4.1,Instagram,Yes,8.1,6,Single,3,7,Entertainment,2,Mobile,Sometimes,Excellent,1,2nd Year,West,2024
467,20,Female,Undergraduate,USA,8.2,Whatsapp,Yes,4.1,5,In Relationship,4,9,Education,1,Tablet,No,Average,4,2nd Year,West,2024
468,22,Male,Graduate,Mexico,7,WhatsApp,Yes,5.2,6,Single,3,7,News,5,Desktop,Sometimes,Average,4,3rd Year,Central,2024
469,19,Female,Undergraduate,France,3.1,Instagram,No,8.9,7,In Relationship,2,5,Socializing,2,Desktop,Sometimes,Average,3,3rd Year,South,2023
470,21,Male,Graduate,Canada,3.9,Instagram,Yes,8.3,6,Single,3,7,Other,3,Tablet,Yes,Poor,2,3rd Year,West,2022
471,20,Female,Undergraduate,Spain,3.7,Whatsapp,Yes,8.2,6,Single,3,7,Socializing,5,Tablet,No,Poor,2,4th Year,West,2023
472,22,Male,Graduate,Denmark,2.5,Facebook,No,9.3,8,In Relationship,2,4,News,1,Mobile,No,Good,3,3rd Year,Central,2023
473,19,Female,Undergraduate,Ireland,3.4,Instagram,Yes,8.5,7,Single,3,6,Entertainment,3,Mobile,No,Average,2,2nd Year,Central,2025
474,21,Male,Graduate,India,7.3,WhatsApp,Yes,5,5,In Relationship,4,8,Entertainment,3,Laptop,Sometimes,Average,2,3rd Year,East,2020
475,20,Female,Undergraduate,Switzerland,2.4,Instagram,No,9.4,8,Single,2,4,Other,5,Laptop,Sometimes,Average,2,4th Year,East,2020
476,22,Male,Graduate,Turkey,4,Whatsapp,Yes,8.2,6,Single,3,7,News,1,Mobile,No,Poor,1,1st Year,North,2025
477,19,Female,Undergraduate,USA,8.3,Instagram,Yes,4,5,In Relationship,4,9,Education,3,Laptop,Sometimes,Poor,1,2nd Year,Central,2022
478,21,Male,Graduate,Mexico,7.1,WhatsApp,Yes,5.1,6,Single,3,7,Entertainment,5,Mobile,No,Good,1,1st Year,North,2023
479,20,Female,Undergraduate,France,3,Instagram,No,9,7,In Relationship,2,5,News,3,Mobile,Sometimes,Average,1,3rd Year,North,2023
480,22,Male,Graduate,Canada,3.8,Whatsapp,Yes,8.4,6,Single,3,7,Entertainment,5,Desktop,Yes,Average,5,2nd Year,South,2023
481,19,Female,Undergraduate,Spain,3.6,Instagram,Yes,8.3,6,Single,3,7,Entertainment,2,Mobile,Sometimes,Average,2,1st Year,East,2020
482,21,Male,Graduate,Denmark,2.4,Facebook,No,9.4,8,In Relationship,2,4,Other,4,Tablet,No,Excellent,2,2nd Year,South,2020
483,20,Female,Undergraduate,Ireland,3.3,Whatsapp,Yes,8.6,7,Single,3,6,Other,3,Mobile,Sometimes,Poor,4,1st Year,West,2023
484,22,Male,Graduate,India,7.4,WhatsApp,Yes,4.9,5,In Relationship,4,8,News,3,Tablet,Yes,Excellent,2,3rd Year,West,2021
485,19,Female,Undergraduate,Switzerland,2.3,Instagram,No,9.5,8,Single,2,4,Education,3,Tablet,Sometimes,Poor,1,3rd Year,North,2025
486,21,Male,Graduate,Turkey,3.9,Instagram,Yes,8.3,6,Single,3,7,Education,2,Desktop,No,Good,1,2nd Year,West,2020
487,20,Female,Undergraduate,USA,8.4,Whatsapp,Yes,3.9,5,In Relationship,4,9,Education,3,Laptop,Yes,Poor,1,1st Year,Central,2023
488,22,Male,Graduate,Mexico,7.2,WhatsApp,Yes,5,6,Single,3,7,News,5,Laptop,No,Excellent,1,1st Year,East,2020
489,19,Female,Undergraduate,France,2.9,Instagram,No,9.1,7,In Relationship,2,5,Socializing,4,Desktop,Yes,Excellent,4,2nd Year,North,2021
490,21,Male,Graduate,Canada,3.7,Instagram,Yes,8.5,6,Single,3,7,Socializing,4,Desktop,Sometimes,Poor,1,3rd Year,East,2024
491,20,Female,Undergraduate,Spain,3.5,Whatsapp,Yes,8.4,6,Single,3,7,Socializing,1,Mobile,Sometimes,Excellent,2,3rd Year,East,2024
492,22,Male,Graduate,Denmark,2.3,Facebook,No,9.5,8,In Relationship,2,4,Socializing,5,Laptop,Sometimes,Good,4,2nd Year,West,2025
493,19,Female,Undergraduate,Ireland,3.2,Instagram,Yes,8.7,7,Single,3,6,Socializing,1,Tablet,Sometimes,Excellent,5,2nd Year,South,2023
494,21,Male,Graduate,India,7.5,WhatsApp,Yes,4.8,5,In Relationship,4,8,Socializing,1,Tablet,Yes,Average,4,1st Year,East,2020
495,20,Female,Undergraduate,Switzerland,2.2,Instagram,No,9.6,8,Single,2,4,Education,2,Mobile,Yes,Good,1,3rd Year,North,2020
496,22,Male,Graduate,Turkey,3.8,Whatsapp,Yes,8.4,6,Single,3,7,Socializing,4,Mobile,No,Excellent,5,1st Year,South,2024
497,19,Female,Undergraduate,USA,8.5,Instagram,Yes,3.8,5,In Relationship,4,9,Socializing,2,Laptop,No,Excellent,1,4th Year,Central,2025
498,21,Male,Graduate,Mexico,7.3,WhatsApp,Yes,4.9,6,Single,3,7,Education,5,Tablet,No,Excellent,1,1st Year,South,2023
499,20,Female,Undergraduate,France,2.8,Instagram,No,9.2,7,In Relationship,2,5,News,5,Tablet,Yes,Good,2,3rd Year,North,2020
500,22,Male,Graduate,Canada,3.6,Whatsapp,Yes,8.6,6,Single,3,7,Education,1,Mobile,Yes,Average,3,2nd Year,Central,2024
501,19,Female,Undergraduate,Brazil,6.2,WhatsApp,Yes,6.3,6,Single,3,7,Socializing,4,Mobile,Yes,Average,5,2nd Year,Central,2025
502,21,Male,Graduate,China,4.5,WeChat,No,7.8,7,In Relationship,2,5,News,1,Tablet,Sometimes,Poor,5,3rd Year,West,2022
503,20,Female,Undergraduate,Netherlands,3.8,Instagram,No,8.2,8,Single,2,4,Other,1,Tablet,No,Good,5,2nd Year,Central,2022
504,22,Male,Graduate,New Zealand,4.7,Instagram,Yes,7.5,7,In Relationship,3,6,Entertainment,4,Mobile,Yes,Average,1,1st Year,West,2022
505,19,Female,Undergraduate,Singapore,5.1,Whatsapp,Yes,7,6,Single,3,7,Socializing,1,Desktop,No,Poor,1,3rd Year,North,2025
506,21,Male,Graduate,Malaysia,5.5,WhatsApp,Yes,6.8,6,Single,3,7,Socializing,3,Tablet,No,Good,5,4th Year,East,2025
507,20,Female,Undergraduate,UAE,6.5,Instagram,Yes,6.5,5,In Relationship,4,8,Education,5,Tablet,Yes,Poor,4,2nd Year,West,2022
508,22,Male,Graduate,Poland,4.2,Facebook,No,7.9,7,Single,2,5,News,1,Mobile,Sometimes,Poor,1,2nd Year,East,2025
509,19,Female,Undergraduate,India,6.8,WhatsApp,Yes,6,5,In Relationship,4,8,Education,2,Laptop,Sometimes,Average,5,4th Year,Central,2025
510,21,Male,Graduate,Canada,4.8,Instagram,Yes,7.4,7,Single,3,6,Other,5,Mobile,Sometimes,Excellent,5,3rd Year,West,2020
511,20,Female,Undergraduate,Brazil,6.1,Instagram,Yes,6.4,6,Single,3,7,Socializing,1,Tablet,No,Good,3,3rd Year,North,2025
512,22,Male,Graduate,China,4.4,WeChat,No,7.9,7,In Relationship,2,5,Education,4,Mobile,No,Good,5,3rd Year,Central,2022
513,19,Female,Undergraduate,Netherlands,3.7,Whatsapp,No,8.3,8,Single,2,4,Education,3,Tablet,No,Good,2,4th Year,West,2022
514,21,Male,Graduate,New Zealand,4.6,Instagram,Yes,7.6,7,In Relationship,3,6,Entertainment,2,Laptop,Sometimes,Average,4,2nd Year,South,2024
515,20,Female,Undergraduate,Singapore,5.2,Whatsapp,Yes,6.9,6,Single,3,7,Education,5,Mobile,No,Average,3,1st Year,South,2023
516,22,Male,Graduate,Malaysia,5.6,WhatsApp,Yes,6.7,6,Single,3,7,Socializing,1,Tablet,Sometimes,Average,2,4th Year,West,2021
517,19,Female,Undergraduate,UAE,6.6,Instagram,Yes,6.4,5,In Relationship,4,8,Education,2,Mobile,No,Excellent,5,1st Year,South,2020
518,21,Male,Graduate,Poland,4.1,Facebook,No,8,7,Single,2,5,Entertainment,4,Tablet,Sometimes,Poor,3,1st Year,North,2023
519,20,Female,Undergraduate,India,6.9,WhatsApp,Yes,5.9,5,In Relationship,4,8,Education,5,Mobile,Sometimes,Excellent,5,1st Year,South,2020
520,22,Male,Graduate,Canada,4.7,Whatsapp,Yes,7.5,7,Single,3,6,Entertainment,3,Mobile,Yes,Poor,3,3rd Year,North,2023
521,19,Female,Undergraduate,Brazil,6,WhatsApp,Yes,6.5,6,Single,3,7,News,4,Laptop,Sometimes,Poor,5,2nd Year,East,2025
522,21,Male,Graduate,China,4.3,WeChat,No,8,7,In Relationship,2,5,Other,4,Desktop,Sometimes,Average,3,1st Year,North,2025
523,20,Female,Undergraduate,Netherlands,3.6,Instagram,No,8.4,8,Single,2,4,Education,2,Tablet,Sometimes,Excellent,5,2nd Year,North,2021
524,22,Male,Graduate,New Zealand,4.5,Facebook,Yes,7.7,7,In Relationship,3,6,Socializing,2,Desktop,Yes,Good,5,2nd Year,North,2025
525,19,Female,Undergraduate,Singapore,5.3,Whatsapp,Yes,6.8,6,Single,3,7,Socializing,5,Desktop,Sometimes,Excellent,5,4th Year,West,2023
526,21,Male,Graduate,Malaysia,5.7,WhatsApp,Yes,6.6,6,Single,3,7,Other,2,Mobile,Sometimes,Excellent,1,3rd Year,Central,2021
527,20,Female,Undergraduate,UAE,6.7,Instagram,Yes,6.3,5,In Relationship,4,8,Education,4,Tablet,No,Excellent,1,2nd Year,East,2023
528,22,Male,Graduate,Poland,4,Facebook,No,8.1,7,Single,2,5,Other,3,Tablet,No,Average,3,3rd Year,Central,2024
529,19,Female,Undergraduate,India,7,WhatsApp,Yes,5.8,5,In Relationship,4,8,Other,2,Desktop,Sometimes,Poor,4,4th Year,North,2024
530,21,Male,Graduate,Canada,4.6,Instagram,Yes,7.6,7,Single,3,6,Other,3,Laptop,No,Excellent,1,2nd Year,North,2023
531,20,Female,Undergraduate,Brazil,5.9,Whatsapp,Yes,6.6,6,Single,3,7,News,5,Desktop,No,Average,3,1st Year,West,2023
532,22,Male,Graduate,China,4.2,WeChat,No,8.1,7,In Relationship,2,5,News,4,Mobile,Yes,Excellent,4,3rd Year,South,2024
533,19,Female,Undergraduate,Netherlands,3.5,Instagram,No,8.5,8,Single,2,4,Entertainment,3,Mobile,Yes,Excellent,5,3rd Year,Central,2024
534,21,Male,Graduate,New Zealand,4.4,Facebook,Yes,7.8,7,In Relationship,3,6,News,4,Laptop,Sometimes,Good,3,4th Year,West,2024
535,20,Female,Undergraduate,Singapore,5.4,Whatsapp,Yes,6.7,6,Single,3,7,Entertainment,3,Laptop,Sometimes,Good,3,3rd Year,West,2023
536,22,Male,Graduate,Malaysia,5.8,WhatsApp,Yes,6.5,6,Single,3,7,Other,1,Desktop,Yes,Poor,4,3rd Year,Central,2021
537,19,Female,Undergraduate,UAE,6.8,Instagram,Yes,6.2,5,In Relationship,4,8,Socializing,5,Mobile,Yes,Average,5,1st Year,West,2023
538,21,Male,Graduate,Poland,3.9,Facebook,No,8.2,7,Single,2,5,News,3,Laptop,Sometimes,Good,4,4th Year,West,2025
539,20,Female,Undergraduate,India,7.1,WhatsApp,Yes,5.7,5,In Relationship,4,8,Socializing,4,Desktop,Sometimes,Average,4,1st Year,South,2024
540,22,Male,Graduate,Canada,4.5,Whatsapp,Yes,7.7,7,Single,3,6,Education,2,Desktop,No,Excellent,4,4th Year,East,2023
541,19,Female,Undergraduate,Brazil,5.8,WhatsApp,Yes,6.7,6,Single,3,7,Other,1,Desktop,Sometimes,Excellent,4,1st Year,North,2025
542,21,Male,Graduate,China,4.1,WeChat,No,8.2,7,In Relationship,2,5,Entertainment,1,Mobile,Sometimes,Good,1,3rd Year,North,2022
543,20,Female,Undergraduate,Netherlands,3.4,Instagram,No,8.6,8,Single,2,4,Education,5,Tablet,Sometimes,Excellent,4,3rd Year,South,2024
544,22,Male,Graduate,New Zealand,4.3,Instagram,Yes,7.9,7,In Relationship,3,6,News,4,Laptop,Sometimes,Good,5,1st Year,West,2025
545,19,Female,Undergraduate,Singapore,5.5,Whatsapp,Yes,6.6,6,Single,3,7,Entertainment,2,Mobile,Sometimes,Average,3,2nd Year,East,2022
546,21,Male,Graduate,Malaysia,5.9,WhatsApp,Yes,6.4,6,Single,3,7,Entertainment,5,Tablet,No,Average,2,1st Year,South,2025
547,20,Female,Undergraduate,UAE,6.9,Instagram,Yes,6.1,5,In Relationship,4,8,Education,1,Desktop,Sometimes,Average,5,4th Year,East,2020
548,22,Male,Graduate,Poland,3.8,Facebook,No,8.3,7,Single,2,5,Other,2,Tablet,No,Excellent,1,2nd Year,Central,2024
549,19,Female,Undergraduate,India,7.2,WhatsApp,Yes,5.6,5,In Relationship,4,8,Other,4,Mobile,No,Average,4,1st Year,West,2023
550,21,Male,Graduate,Canada,4.4,Instagram,Yes,7.8,7,Single,3,6,News,1,Desktop,No,Good,1,3rd Year,North,2023
551,20,Female,Undergraduate,Brazil,5.7,Whatsapp,Yes,6.8,6,Single,3,7,Education,3,Desktop,Sometimes,Average,5,3rd Year,Central,2020
552,22,Male,Graduate,China,4,WeChat,No,8.3,7,In Relationship,2,5,Education,4,Laptop,No,Poor,1,2nd Year,South,2021
553,19,Female,Undergraduate,Netherlands,3.3,Instagram,No,8.7,8,Single,2,4,Socializing,2,Tablet,Yes,Poor,4,3rd Year,East,2022
554,21,Male,Graduate,New Zealand,4.2,Facebook,Yes,8,7,In Relationship,3,6,Entertainment,4,Laptop,No,Average,1,2nd Year,Central,2023
555,20,Female,Undergraduate,Singapore,5.6,Whatsapp,Yes,6.5,6,Single,3,7,Entertainment,1,Tablet,Sometimes,Poor,4,3rd Year,East,2025
556,22,Male,Graduate,Malaysia,6,WhatsApp,Yes,6.3,6,Single,3,7,Other,3,Laptop,Yes,Average,1,4th Year,North,2024
557,19,Female,Undergraduate,UAE,7,Instagram,Yes,6,5,In Relationship,4,8,Other,3,Desktop,Yes,Excellent,5,3rd Year,North,2024
558,21,Male,Graduate,Poland,3.7,Facebook,No,8.4,7,Single,2,5,Other,3,Desktop,Sometimes,Average,1,4th Year,South,2021
559,20,Female,Undergraduate,India,7.3,WhatsApp,Yes,5.5,5,In Relationship,4,8,Other,2,Tablet,Yes,Excellent,2,2nd Year,West,2023
560,22,Male,Graduate,Canada,4.3,Whatsapp,Yes,7.9,7,Single,3,6,Education,4,Desktop,Yes,Excellent,3,1st Year,West,2025
561,19,Female,Undergraduate,Brazil,5.6,WhatsApp,Yes,6.9,6,Single,3,7,Other,2,Mobile,No,Good,3,4th Year,West,2021
562,21,Male,Graduate,China,3.9,WeChat,No,8.4,7,In Relationship,2,5,News,1,Tablet,Sometimes,Excellent,5,1st Year,North,2023
563,20,Female,Undergraduate,Netherlands,3.2,Instagram,No,8.8,8,Single,2,4,News,3,Mobile,No,Excellent,2,2nd Year,Central,2025
564,22,Male,Graduate,New Zealand,4.1,Instagram,Yes,8.1,7,In Relationship,3,6,Entertainment,2,Laptop,No,Poor,1,3rd Year,North,2021
565,19,Female,Undergraduate,Singapore,5.7,Whatsapp,Yes,6.4,6,Single,3,7,News,5,Laptop,No,Excellent,5,4th Year,North,2021
566,21,Male,Graduate,Malaysia,6.1,WhatsApp,Yes,6.2,6,Single,3,7,Entertainment,2,Desktop,Yes,Excellent,4,2nd Year,East,2023
567,20,Female,Undergraduate,UAE,7.1,Instagram,Yes,5.9,5,In Relationship,4,8,Entertainment,5,Laptop,No,Good,1,4th Year,North,2025
568,22,Male,Graduate,Poland,3.6,Facebook,No,8.5,7,Single,2,5,Other,4,Desktop,Sometimes,Excellent,5,4th Year,Central,2022
569,19,Female,Undergraduate,India,7.4,WhatsApp,Yes,5.4,5,In Relationship,4,8,Other,3,Tablet,No,Excellent,1,4th Year,Central,2025
570,21,Male,Graduate,Canada,4.2,Instagram,Yes,8,7,Single,3,6,Entertainment,1,Tablet,No,Excellent,4,3rd Year,West,2024
571,20,Female,Undergraduate,Spain,6.1,Instagram,Yes,7.2,5,Single,4,7,Education,4,Desktop,No,Poor,1,2nd Year,South,2024
572,23,Male,Graduate,Denmark,3.8,X,No,7.8,8,In Relationship,2,4,Entertainment,1,Laptop,Yes,Poor,1,1st Year,North,2020
